"Add New Row","Add New Row"
"Upload Files","Upload Files"
"All Files","All Files"
Attachments,Attachments
"Edit Custom Template","Edit Custom Template"
"Create Custom Template","Create Custom Template"
"No Templates Found","No Templates Found"
"Default Template Name","Default Template Name"
"Default Template File","Default Template File"
"Custom Template Name","Custom Template Name"
Subject,Subject
Sender,Sender
Action,Action
Back,Back
"Generate Templates","Generate Templates"
"Replace In Custom Templates","Replace In Custom Templates"
"Default Config","Default Config"
"E-mail Templates Manager","E-mail Templates Manager"
"Please choose Stores, which the Module`s functionality will be enabled for in System/Configuration/AITOC MODULES SETTINGS/Aitoc Module Manager/""Enable/Disable Modules Functionality""","Please choose Stores, which the Module`s functionality will be enabled for in System/Configuration/AITOC MODULES SETTINGS/Aitoc Module Manager/""Enable/Disable Modules Functionality"""
"The selected scope is not available for the current license configuration. Available scope is selected automatically.","The selected scope is not available for the current license configuration. Available scope is selected automatically."
"Store Transactional Emails","Store Transactional Emails"
"Templates generated. Total %s entries replaced.","Templates generated. Total %s entries replaced."
"Replace complete. Total %s entries replaced.","Replace complete. Total %s entries replaced."
"Transactional Emails","Transactional Emails"
"Aitemails Module","Aitemails Module"
"Allow Everything","Allow Everything"
"Email template manager","Email template manager"
"Custom template saved successfully","Custom template saved successfully"
"Replace In Templates","Replace In Templates"
"Are you sure you want to overwrite existing custom templates?","Are you sure you want to overwrite existing custom templates?"
"Replace default entries","Replace default entries"
"Note that leading and trailing spaces (if any)  will not be trimmed","Note that leading and trailing spaces (if any)  will not be trimmed"
"Delete existing custom templates for this store view","Delete existing custom templates for this store view"
Find,Find
"Replace with","Replace with"
"Replace in custom templates","Replace in custom templates"
"Add one more row","Add one more row"
"Current Configuration Scope:","Current Configuration Scope:"
"Locale: ","Locale: "
"(all symbols except letters and digits will be removed)","(all symbols except letters and digits will be removed)"
"Attachment Name","Attachment Name"
File,File
"Sort Order","Sort Order"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>"
