"Google Rich Snippets Settings","Google Rich Snippets Settings"
"Product Breadcrumbs","Product Breadcrumbs"
"Send Breadcrums data to Search Engines","Send Breadcrums data to Search Engines"
"Product Sku","Product Sku"
"Send Sku attribute data to Search Engines","Send Sku attribute data to Search Engines"
"Product Url","Product Url"
"Send Url data to Search Engines","Send Url data to Search Engines"
"Product Image","Product Image"
"Send Image data to Search Engines","Send Image data to Search Engines"
"Product Short Description","Product Short Description"
"Send Short Description data to Search Engines","Send Short Description data to Search Engines"
"Product Price","Product Price"
"Send Price data to Search Engines","Send Price data to Search Engines"
"Product Brand","Product Brand"
"Send Manufacturer attribute data to Search Engines","Send Manufacturer attribute data to Search Engines"
"Product Color","Product Color"
"Send Color attribute data to Search Engines","Send Color attribute data to Search Engines"
"Product Weight","Product Weight"
"Send Weight attribute data to Search Engines","Send Weight attribute data to Search Engines"
"Product Stock","Product Stock"
"Send Stock data to Search Engines (only works when Product Price is active)","Send Stock data to Search Engines (only works when Product Price is active)"
"Product Reviews","Product Reviews"
"Send Review data to Search Engine","Send Review data to Search Engine"

"Sku","Sku"
"Url","Url"
"Brand","Brand"
"Color","Color"
"Weight","Weight"
