"Mageplace Backup","Mageplace Backup"
"MagePlace Backup","MagePlace Backup"
"Backup","Backup"
"Mageplace Backup Settings","Mageplace Backup Settings"
"Local path","Local path"
"Dropbox Settings","Dropbox Settings"
"To get &quot;App key&quot; and &quot;App secret&quot; register your application on &lt;a href=&quot;https://www.dropbox.com/developers/apps&quot; target=&quot;_blank&quot;&gt;Dropbox apps&lt;/a&gt;","To get &quot;App key&quot; and &quot;App secret&quot; register your application on &lt;a href=&quot;https://www.dropbox.com/developers/apps&quot; target=&quot;_blank&quot;&gt;Dropbox apps&lt;/a&gt;"
"Enable application", "Enable application"
"App key","App key"
"App secret","App secret"
"Dropbox Directory","Dropbox Directory"
"Invalid model ""%s""","Invalid model ""%s"""
"Profiles","Profiles"
"Profile","Profile"
"Manage Profiles","Manage Profiles"
"This profile does not exist","This profile does not exist"
"New Profile","New Profile"
"Edit Profile","Edit Profile"
"Profile was successfully saved","Profile was successfully saved"
"Profile was successfully deleted","Profile was successfully deleted"
"Unable to find a Profile to delete","Unable to find a Profile to delete"
"Add New Profile","Add New Profile"
"Profile Information","Profile Information"
"Profile Details","Profile Details"
"Default Profile","Default Profile"
"Default","Default"
"Storage Application","Storage Application"
"Cloud Application","Cloud Application"
"Profile Name","Profile Name"
"Backups","Backups"
"Action","Action"
"Save Profile","Save Profile"
"Delete Profile","Delete Profile"
"Save and continue edit","Save and continue edit"
"Manage Backups","Manage Backups"
"Create Backup","Create Backup"
"Edit Backup","Edit Backup"
"Backup was successfully deleted","Backup was successfully deleted"
"Unable to find a Backup to delete","Unable to find a Backup to delete"
"Backup Name","Backup Name"
"Backup File Name","Backup File Name"
"Backup File Name Prefix","Backup File Name Prefix"
"If empty, random file name will be generated.","If empty, random file name will be generated."
"Backup Description","Backup Description"
"Created","Created"
"Progress of the backup process","Progress of the backup process"
"Backup Progress","Backup Progress"
"Backup was successfully saved","Backup was successfully saved"
"Backup Now!","Backup Now!"
"Backup - %s","Backup - %s"
"Dropbox","Dropbox"
"Storage Application Settings","Storage Application Settings"
"Cloud Application Settings","Cloud Application Settings"
"%s Settings", "%s Settings"
"Cloud storage must be declared","Cloud storage must be declared"
"Files and Directories Exclusion","Files and Directories Exclusion"
"ROOT","ROOT"
"Current dir: ","Current dir: "
"Excluded Files and Directories","Excluded Files and Directories"
"Remove Selected","Remove Selected"
"Remove All","Remove All"
"There are no items selected","There are no items selected"
"Are you sure you want to remove all items?","Are you sure you want to remove all items?"
"DB Tables Exclusion","DB Tables Exclusion"
"Check All","Check All"
"Uncheck All","Uncheck All"
"Reverse","Reverse"
"Save local copy","Save local copy"
"Profile Backup Path","Profile Backup Path"
"If empty, Magento backup folder (%s) will be used.","If empty, Magento backup folder (%s) will be used."
"Backup process started","Backup process started"
"Backup process finished","Backup process finished"
"Start DB tables backup","Start DB tables backup"
"Finish DB tables backup","Finish DB tables backup"
"Backup profile is not specified.","Backup profile is not specified."
"Start ""%s"" table backup","Start ""%s"" table backup"
"Finish ""%s"" table backup","Finish ""%s"" table backup"
"Select default profile first","Select default profile first"
"Select profile first","Select profile first"
"Start ""%s"" DB backup file upload to cloud server","Start ""%s"" DB backup upload file to cloud server"
"Finish ""%s"" DB backup upload file to cloud server","Finish ""%s"" DB backup upload file to cloud server"
"Start directories and files backup","Start directories and files backup"
"Finish files backup","Finish files backup"
"Add ""%s"" directory to archive","Add ""%s"" directory to archive"
