Imageoption,Imageoption
Imageoption Templates,Imageoption Templates
Imageoption Templates Manager,Imageoption Templates Manager
Add Imageoption Template,Add Imageoption Template
ID,ID
Title,Title
Description,Description
Status,Status
Action,Action
Actions,Actions
Edit,Edit
Delete,Delete
Are you sure?,Are you sure?
Apply Template,Apply Template
Save,Save
Save And Continue Edit,Save And Continue Edit
Edit Imageoption Template ,Edit Imageoption Template
Imageoption Template Information,Imageoption Template Information
Assigned Products,Assigned Products
Options,Options
Short Description,Short Description
Enabled,Enabled
Disabled,Disabled
Item information,Item information
Name,Name
Type,Type
Attrib. Set Name,Attrib. Set Name
Visibility,Visibility
Price,Price
Options Template,Options Template
Please select SAVE AND CONTINUE EDIT to apply options template,Please select SAVE AND CONTINUE EDIT to apply options template
Custom Options,Custom Options
