"Invalid data","Invalid data"
"Invalid filename","Invalid filename"
"Invalid file extension","Invalid file extension"
"Processing","Processing"
"File Min Size {fileMin}","File Min Size {fileMin}"
"File Max Size {fileMax}","File Max Size {fileMax}"
"Failed to open input stream.","Failed to open input stream."
"Failed to move uploaded file.","Failed to move uploaded file."
"Failed to open output stream.","Failed to open output stream."
"Can't move file to quote folder.","Can't move file to quote folder."
