Imageoption,Imageoption
Imageoption Templates,Imageoption Templates
Imageoption Templates Manager,Imageoption Templates Gestionnaire
Add Imageoption Template,Ajouter Imageoption Template
ID,ID
Title,Titre
Description,Description
Status,État
Action,Action
Actions,Actes
Edit,Modifier
Delete,Supprimer
Are you sure?,Etes-vous sûr?
Apply Template,Appliquer le template
Save,Sauver
Save And Continue Edit,Enregistrer et continuer Modifier
Edit Imageoption Template ,Modifier Imageoption Template
Imageoption Template Information,Imageoption Template Information
Assigned Products,Assigné Produits
Options,Options
Short Description,Description courte
Enabled,Activé
Disabled,Deactivé
Item information,Point d'information
Name,Nom
Type,Type
Attrib. Set Name,Set Nom d'attrib.
Visibility,Visibilité
Price,Prix
Options Template,Options Template
Please select SAVE AND CONTINUE EDIT to apply options template,S'il vous plaît sélectionnez ENREGISTRER ET CONTINUER EDIT pour appliquer des options de template
Custom Options,Options Sur Mesure
