Imageoption,Imageoption
Imageoption Templates,Imageoption Шаблоны
Imageoption Templates Manager,Менеджер шаблонов Imageoption
Add Imageoption Template,Добавить Imageoption шаблона
ID,ID
Title,Название
Description,Описание
Status,Cтатус
Action,действия
Actions,действия
Edit,Изменить
Delete,Удалить
Are you sure?,Вы уверены?
Apply Template,Применить шаблон
Save,Сохранить
Save And Continue Edit,Сохранить и продолжить Изменить
Edit Imageoption Template ,Изменить шаблон Imageoption
Imageoption Template Information,Imageoption Информация о шаблонах
Assigned Products,Присвоение продуктов
Options,Функции
Short Description,Краткое описание
Enabled,Включено
Disabled,Инвалиды
Item information,Пункт информация
Name,Имя
Type,Печатать
Attrib. Set Name,Название набора атрибутов
Visibility,Видимость
Price,Цены
Options Template,Функции шаблона
Please select SAVE AND CONTINUE EDIT to apply options template,Пожалуйста выберите "SAVE AND CONTINUE EDIT" чтобы применить шаблон страницы
Custom Options,Пользовательские Функции
