"Ajax Contacts","Ajax Contacts"
"Space for button before window top edge","Значние Top для кнопки"
"Cancel","Отменить"
"Enabled","Разрешить"
"General","Основное"
"Height","Высота"
"in pixels","в пикселях"
"MagPleasure Extensions","MagPleasure Extensions"
"Submit","Отправить"
"Width","Ширина"
"Contact Form Window Configuration","Конфигурирование окна"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Мы ответим на ваше обращение в течение ближайшего времени. Спасибо, что обратились к нам."
